#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
774,05-30016K400,MICRO P 16KB 1.62-3.63V ATMEL ATSAMD11D14A-MUT QFN24,ATMEL,USD 0.7940,USD 0.6940
775,05-30016K500,MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU VQFN32,MICROCHIP,NTD 22.3000,USD 0.7093
776,05-30016K501,*MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU (WHITE) (protected) Ver.01 VQFN32,MICROCHIP,USD 0.6137,USD 0.7093
777,05-30016K502,*MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU (GREEN) (protected) Ver.02 VQFN32,MICROCHIP,,USD 0.7093
778,05-30016K503,*MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU (RED) (protected) Ver.03 VQFN32,MICROCHIP,,USD 0.7093
779,05-30016K504,MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU (YELLOW) (protected) Ver.04 VQFN32,MICROCHIP,USD 0.6458,USD 0.6490
780,05-30016K505,MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU (WHITE/RED)(protected) Ver.RX1 VQFN32,ACARD,USD 0.7058,USD 0.7093
781,05-30016K506,MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU (BLUE) (protected) Ver.14 VQFN32,MICROCHIP,USD 0.6458,USD 0.6490
782,05-30016K507,*MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU VQFN32 PCIe Hot Plug (ORANGE) (protected) Ver.HP1,MICROCHIP,,USD 0.7093
783,05-30016K508,MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU VQFN32 PCIe Hot Plug (PURPLE) (protected) Ver.HP2,MICROCHIP,USD 0.7058,USD 0.7093
784,05-30016K509,?MICRO P 16KB 1.8-5.5V MICROCHIP ATmega1608-MU VQFN32 HW Mointor (GOLDEN) (protected) Ver.AD1,MICROCHIP,,USD 0.7093
785,05-30028K020,*UP MICROCHIP 28KB  2.3-5.5V PIC16F18346 SSOP-20,MICROCHIP,USD 0.6400,USD 0.8500
786,05-30028K021,*MICROCHIP 28KB 2.3-5.5V MICROCHIP PIC16F18346 (紅點) (protected) Ver.UF22 SSOP-20,MICROCHIP,USD 0.8865,USD 0.8910
787,05-30028K022,MICRO P 28KB 2.3-5.5V MICROCHIP PIC16F18346 (PURPLE) (protected) Ver.P5 SSOP-20,MICROCHIP,,USD 0.8910
788,05-30032K100,MICRO P 32KB 2.0-3.6V ST STM32G030K6T6 LQFP32,ST,,USD 0.4200
789,05-30032K210,UP MICROCHIP 32KB  1.8-5.5V ATMEGA328P-AU TQFP-32 PB_FREE,MICROCHIP,,
790,05-30032K300,MICRO P 32KB 1.7-3.6V ST STM32G031K6U6 UFQFPN32,ST,,
791,05-30032K400,MICRO P 32KB 1.62-3.6V TI XMSM0L1105TDGS28R VSSOP-28,TI,,USD 0.3900
792,05-30056K050,UP MICROCHIP 56KB 2.3-5.5V PIC16F19197-I/PT TQFP-64,MICROCHIP,USD 1.1000,USD 1.5450
793,05-30056K051,MICROCHIP 56KB 2.3-5.5V MICROCHIP PIC16F19197-I/PT (紅點) (protected) Ver.HC1 TQFP-64,MICROCHIP,USD 1.6119,USD 1.6200
794,05-30102K130,*UP MICROCHIP 2KB  1.8-3.6V MSP430F2111 TSSOP20 PB_FREE,TI,,USD 0.5500
795,05-30102K131,*UP MICROCHIP 2KB  1.8-3.6V MSP430F2111 TSSOP20 (Synology藍點)PB_FREE,TI,,USD 0.5500
796,05-30102K132,*UP MICROCHIP 2KB  1.8-3.6V MSP430F2111 TSSOP20 (Synology白點)(CRC checksum: 3A33A)(Ver.B1)PB_FREE,TI,USD 0.5200,USD 0.5200
